occurrence_name,full_path_name,component_name,mesh_file,status,origin_x_cm,origin_y_cm,origin_z_cm,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
DC14_A01_REF:1,2XC-430:1+DC14_A01_REF:1,DC14_A01_REF,2XC-430_1_DC14_A01_REF_1.stl,exported,-0.001999999999935685,-6.039613253960852e-14,21.745000000001088,0.9999999999999997,1.2181382726817567e-16,1.644997216168548e-15,-0.001999999999935685,1.6514560699136295e-15,-8.743006318923108e-16,-1.0,-6.039613253960852e-14,-1.2027849571088171e-16,0.9999999999999994,-9.020562075079397e-16,21.745000000001088,0.0,0.0,0.0,1.0
DC11_A01_HORN_REF:1,2XC-430:1+DC11_A01_HORN_REF_ASM:1+DC11_A01_HORN_REF:1,DC11_A01_HORN_REF,2XC-430_1_DC11_A01_HORN_REF_ASM_1_DC11_A01_HORN_REF_1.stl,exported,1.550000000000065,-5.806466418789569e-14,20.545000000001085,-1.2090668390900597e-16,0.9999999999999999,1.6795216674573568e-15,1.550000000000065,8.187894806610529e-16,1.6511704513721509e-15,-1.0000000000000009,-5.806466418789569e-14,-1.0000000000000007,-1.202982049692991e-16,-8.049116928532385e-16,20.545000000001085,0.0,0.0,0.0,1.0
DC11_A01_HORN_REF_ASM:1,2XC-430:1+DC11_A01_HORN_REF_ASM:1,DC11_A01_HORN_REF_ASM,2XC-430_1_DC11_A01_HORN_REF_ASM_1.stl,exported,-7.741559206264545,11.405157078953174,13.602090573611129,0.0,1.0,0.0,-7.741559206264545,-9.936496070395153e-15,0.0,-1.0000000000000002,11.405157078953174,-1.0000000000000002,0.0,9.936496070395153e-15,13.602090573611129,0.0,0.0,0.0,1.0
DC11_A01_IDLER_REF:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:1+DC11_A01_IDLER_REF:1,DC11_A01_IDLER_REF,2XC-430_1_DC11_A01_IDLER_REF_ASM_1_DC11_A01_IDLER_REF_1.stl,exported,-5.427557967793365,16.818744453094595,10.84523990397749,-3.114266235894627e-16,-1.0000000000000022,1.4432899320127023e-15,-5.427557967793365,1.0006776040443857e-14,-3.330669073875494e-16,-1.0000000000000013,16.818744453094595,0.9999999999999998,-1.665334536937719e-16,7.438494264988543e-15,10.84523990397749,0.0,0.0,0.0,1.0
DC11_A01_IDLER_CAP_REF:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:1+DC11_A01_IDLER_CAP_REF:1,DC11_A01_IDLER_CAP_REF,2XC-430_1_DC11_A01_IDLER_REF_ASM_1_DC11_A01_IDLER_CAP_REF_1.stl,exported,-11.171559206264545,11.405157063708396,13.602090609418129,0.0,1.0,0.0,-11.171559206264545,9.936496070395153e-15,0.0,1.0000000000000002,11.405157063708396,1.0000000000000002,0.0,-9.936496070395153e-15,13.602090609418129,0.0,0.0,0.0,1.0
DC11_A01_IDLER_SCREW:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:1+DC11_A01_IDLER_SCREW:1,DC11_A01_IDLER_SCREW,2XC-430_1_DC11_A01_IDLER_REF_ASM_1_DC11_A01_IDLER_SCREW_1.stl,exported,-10.801559206264544,11.405157063708396,13.602090609418129,0.0,-1.0,0.0,-10.801559206264544,9.936496070395153e-15,0.0,-1.0000000000000002,11.405157063708396,1.0000000000000002,0.0,9.936496070395153e-15,13.602090609418129,0.0,0.0,0.0,1.0
DC11_A01_HORN_REF:1,2XC-430:1+DC11_A01_HORN_REF_ASM:2+DC11_A01_HORN_REF:1,DC11_A01_HORN_REF,2XC-430_1_DC11_A01_HORN_REF_ASM_2_DC11_A01_HORN_REF_1.stl,exported,-0.001999999999932986,-1.5520000000000629,22.945000000001087,1.8146542637073807e-16,1.6449972161685493e-15,1.0000000000000002,-0.001999999999932986,-9.298117831235688e-16,-1.0000000000000009,1.6094961215864099e-15,-1.5520000000000629,1.0000000000000007,-8.881784197001252e-16,-1.815108356682495e-16,22.945000000001087,0.0,0.0,0.0,1.0
DC11_A01_HORN_REF_ASM:2,2XC-430:1+DC11_A01_HORN_REF_ASM:2,DC11_A01_HORN_REF_ASM,2XC-430_1_DC11_A01_HORN_REF_ASM_2.stl,exported,-9.29155922150932,9.85515706370842,16.002090645225145,0.0,0.0,1.0,-9.29155922150932,9.936496070395153e-15,-1.0000000000000002,0.0,9.85515706370842,1.0000000000000002,9.936496070395153e-15,0.0,16.002090645225145,0.0,0.0,0.0,1.0
DC11_A01_IDLER_REF:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:2+DC11_A01_IDLER_REF:1,DC11_A01_IDLER_REF,2XC-430_1_DC11_A01_IDLER_REF_ASM_2_DC11_A01_IDLER_REF_1.stl,exported,-11.576039078630659,11.711342163249432,12.358940103371184,-3.577600362148026e-16,4.718447854656876e-16,0.9999999999999989,-11.576039078630659,-9.471255875892576e-15,0.9999999999999991,4.4408920985006207e-16,11.711342163249432,-0.9999999999999991,-1.015854067532017e-14,-1.8041124150158772e-16,12.358940103371184,0.0,0.0,0.0,1.0
DC11_A01_IDLER_CAP_REF:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:2+DC11_A01_IDLER_CAP_REF:1,DC11_A01_IDLER_CAP_REF,2XC-430_1_DC11_A01_IDLER_REF_ASM_2_DC11_A01_IDLER_CAP_REF_1.stl,exported,-9.291559206264544,13.285157063708422,16.00209060941811,0.0,0.0,-1.0,-9.291559206264544,-9.936496070395153e-15,-1.0000000000000002,0.0,13.285157063708422,-1.0000000000000002,9.936496070395153e-15,0.0,16.00209060941811,0.0,0.0,0.0,1.0
DC11_A01_IDLER_SCREW:1,2XC-430:1+DC11_A01_IDLER_REF_ASM:2+DC11_A01_IDLER_SCREW:1,DC11_A01_IDLER_SCREW,2XC-430_1_DC11_A01_IDLER_REF_ASM_2_DC11_A01_IDLER_SCREW_1.stl,exported,-5.488510256115089,7.487917474320763,14.73961271128302,3.085679660270803e-16,2.4004829930976794e-30,1.0000000000000002,-5.488510256115089,-1.1392831072356746e-14,1.0000000000000007,-4.996003610813203e-16,7.487917474320763,-0.9999999999999991,-1.1823875212257905e-14,1.1934897514720423e-15,14.73961271128302,0.0,0.0,0.0,1.0
2XC-430:1,2XC-430:1,2XC-430,2XC-430_1.stl,exported,-9.291559206264544,11.405157063708408,14.80209060941813,1.0,0.0,0.0,-9.291559206264544,0.0,9.936496070395153e-15,-1.0000000000000002,11.405157063708408,0.0,1.0000000000000002,9.936496070395153e-15,14.80209060941813,0.0,0.0,0.0,1.0
arm_thrustC:1,arm_thrustC:1,arm_thrustC,arm_thrustC_1.stl,exported,0.00800000000006465,-1.8000000000000589,22.94400000000108,0.9999999999999997,1.236436707563361e-16,1.6576937176686563e-15,0.00800000000006465,1.6514560699136297e-15,-9.298117831235686e-16,-0.9999999999999999,-1.8000000000000589,-1.2027849571088184e-16,0.9999999999999999,-9.298117831235686e-16,22.94400000000108,0.0,0.0,0.0,1.0
arm_thrustB:1,arm_thrustB:1,arm_thrustB,arm_thrustB_1.stl,exported,-0.001999999999931709,-2.8520000000000123,22.945000000001077,0.9999999999999654,-1.2023308641334136e-16,-1.644997216168461e-15,-0.001999999999931709,4.019435307919779e-15,-1.2545520178264269e-14,0.9999999999999467,-2.8520000000000123,4.914561849391025e-16,-0.9999999999999515,8.881784197001252e-16,22.945000000001077,0.0,0.0,0.0,1.0
fr12_s102_k:2,fr12_s102_k:2,fr12_s102_k,fr12_s102_k_2.stl,exported,-0.001999999999928753,-4.801999999999909,22.945000000001066,0.9999999999999646,1.533798497628665e-15,-1.644997216168463e-15,-0.001999999999928753,4.2354059153254255e-15,-1.2531642390456454e-14,0.9999999999999478,-4.801999999999909,4.914561849391023e-16,-0.9999999999999526,9.159339953157541e-16,22.945000000001066,0.0,0.0,0.0,1.0
DC11_B01_CASE_M_DUMMY:1,XC-430_idle:1+DC11_B01_CASE_M_DUMMY:1,DC11_B01_CASE_M_DUMMY,XC-430_idle_1_DC11_B01_CASE_M_DUMMY_1.stl,exported,-0.0019999999999119294,-6.901999999999822,22.945000000001016,-1.627026705988555e-15,1.8289140429521633e-15,0.9999999999999533,-0.0019999999999119294,1.2601031329495527e-14,-0.9999999999999339,4.8472473701046184e-15,-6.901999999999822,0.9999999999999164,-8.049116928532385e-15,1.4708547815483113e-15,22.945000000001016,0.0,0.0,0.0,1.0
