episode,steps,reward,distance_mm,success,epsilon
149,26,7.294400,4.879316,1,0.479005
150,10,10.010906,7.230093,1,0.476863
151,16,8.204948,4.879316,1,0.474731
152,10,10.672050,4.879316,1,0.472610
153,15,9.460719,4.066264,1,0.470500
154,8,10.972491,4.879316,1,0.468400
155,13,10.245247,4.066264,1,0.466310
156,12,9.626129,7.683461,1,0.464231
157,8,10.478584,7.230093,1,0.462163
158,10,9.674459,4.879316,1,0.460105
159,25,6.095062,6.107110,1,0.458057
160,8,10.425168,7.230093,1,0.456019
161,19,7.989816,7.995227,1,0.453991
162,14,8.478658,4.879316,1,0.451974
163,35,2.454876,6.107110,1,0.449967
164,14,9.238683,4.879316,1,0.447969
165,16,8.216434,4.879316,1,0.445982
166,12,9.324682,4.879316,1,0.444004
167,16,9.194366,4.879316,1,0.442037
168,8,10.343117,7.230093,1,0.440079
169,12,9.984490,4.879316,1,0.438131
170,20,7.747765,4.879316,1,0.436193
171,10,10.544891,4.879316,1,0.434264
172,16,9.257356,7.230093,1,0.432346
173,8,10.829314,4.879316,1,0.430436
174,6,11.279358,4.879316,1,0.428536
175,18,7.819904,4.879316,1,0.426646
176,14,8.651955,4.879316,1,0.424765
177,8,10.890567,4.879316,1,0.422894
178,16,8.624819,7.230093,1,0.421032
179,6,11.233477,4.879316,1,0.419179
180,22,8.169861,4.879316,1,0.417335
181,24,6.994172,4.879316,1,0.415501
182,12,10.478683,4.879316,1,0.413676
183,10,10.350629,7.230093,1,0.411859
184,6,11.279358,4.879316,1,0.410052
185,10,9.879648,4.879316,1,0.408254
186,10,10.616760,4.879316,1,0.406465
187,14,8.983791,4.879316,1,0.404685
188,6,11.279358,4.879316,1,0.402914
189,80,-23.845832,57.411267,0,0.401152
190,12,9.775411,4.879316,1,0.399398
191,32,5.346822,4.879316,1,0.397653
192,18,7.152444,7.230093,1,0.395917
193,8,10.934903,4.879316,1,0.394190
194,6,11.053219,7.230093,1,0.392471
195,8,10.829314,4.879316,1,0.390761
196,10,10.245133,4.879316,1,0.389059
197,16,9.320540,4.879316,1,0.387366
198,6,10.919227,7.683461,1,0.385681
199,12,9.318456,4.879316,1,0.384005
200,8,10.523718,4.879316,1,0.382337
201,12,9.980870,4.879316,1,0.380677
202,8,10.734178,4.879316,1,0.379026
203,6,11.279358,4.879316,1,0.377383
204,8,10.934903,4.879316,1,0.375748
205,10,10.489709,4.879316,1,0.374121
206,10,10.572784,4.879316,1,0.372503
207,12,9.307651,4.879316,1,0.370892
208,12,9.378750,4.879316,1,0.369290
209,14,9.017983,7.230093,1,0.367695
210,8,10.942867,4.879316,1,0.366109
211,9,10.229640,4.066264,1,0.364530
212,8,10.988748,4.879316,1,0.362960
213,8,10.909142,4.879316,1,0.361397
214,12,9.036156,4.879316,1,0.359842
215,8,10.780319,4.879316,1,0.358295
216,8,10.787159,4.879316,1,0.356755
217,6,11.279358,4.879316,1,0.355223
218,12,9.583607,7.230093,1,0.353699
219,6,11.233477,4.879316,1,0.352182
220,8,10.824982,4.879316,1,0.350673
221,8,10.708763,7.230093,1,0.349172
222,6,11.279358,4.879316,1,0.347678
223,7,11.243172,4.066264,1,0.346191
224,8,10.832993,4.879316,1,0.344712
225,18,8.632564,4.879316,1,0.343240
226,10,9.988177,4.879316,1,0.341776
227,12,9.782814,4.879316,1,0.340319
228,18,7.507790,7.230093,1,0.338869
229,5,11.111339,7.995227,1,0.337427
230,11,10.037487,4.066264,1,0.335991
231,6,11.279358,4.879316,1,0.334563
232,6,10.888408,7.683461,1,0.333142
233,18,6.410971,7.230093,1,0.331728
234,12,9.709523,4.879316,1,0.330321
235,7,11.144991,4.066264,1,0.328922
236,10,10.415926,4.879316,1,0.327529
237,8,10.523718,4.879316,1,0.326143
238,10,10.243592,4.879316,1,0.324764
239,6,11.279358,4.879316,1,0.323392
240,6,11.279358,4.879316,1,0.322026
241,13,9.501230,7.995227,1,0.320668
242,18,8.008016,4.879316,1,0.319316
243,20,7.979507,7.230093,1,0.317971
244,6,11.279358,4.879316,1,0.316633
245,14,7.711498,4.879316,1,0.315302
246,6,11.181177,4.879316,1,0.313977
247,6,11.181177,4.879316,1,0.312659
248,6,11.279358,4.879316,1,0.311347
249,12,9.840042,4.879316,1,0.310042
250,6,11.279358,4.879316,1,0.308743
251,20,7.794213,4.879316,1,0.307451
252,6,11.233477,4.879316,1,0.306166
253,6,11.279358,4.879316,1,0.304886
254,6,11.195654,4.879316,1,0.303614
255,10,10.274970,4.879316,1,0.302347
256,6,11.279358,4.879316,1,0.301087
257,6,11.279358,4.879316,1,0.299833
258,6,11.279358,4.879316,1,0.298585
259,10,9.973405,7.230093,1,0.297344
260,6,11.334502,4.879316,1,0.296109
261,8,10.645739,4.879316,1,0.294880
262,8,11.034629,4.879316,1,0.293657
263,10,10.690174,4.879316,1,0.292440
264,8,10.601077,4.879316,1,0.291230
265,14,8.996446,7.230093,1,0.290025
266,6,11.279358,4.879316,1,0.288826
267,6,11.279358,4.879316,1,0.287634
268,6,11.181177,4.879316,1,0.286447
269,6,11.234696,4.879316,1,0.285266
270,10,10.762594,4.879316,1,0.284091
271,12,9.431430,4.879316,1,0.282922
272,6,10.995934,7.230093,1,0.281759
273,10,10.194321,4.879316,1,0.280602
274,8,10.514181,7.230093,1,0.279450
275,8,10.548157,4.879316,1,0.278304
276,6,11.279358,4.879316,1,0.277164
277,6,11.279358,4.879316,1,0.276030
278,6,11.233477,4.879316,1,0.274901
279,10,9.475576,7.230093,1,0.273778
280,7,10.521496,7.995227,1,0.272661
281,6,11.279358,4.879316,1,0.271549
282,6,11.279358,4.879316,1,0.270442
283,10,10.161093,4.879316,1,0.269342
284,11,9.729752,6.107110,1,0.268246
285,6,11.334502,4.879316,1,0.267156
286,6,11.279358,4.879316,1,0.266072
287,9,10.998443,4.066264,1,0.264993
288,6,11.279358,4.879316,1,0.263919
289,6,11.234696,4.879316,1,0.262851
290,8,10.892800,4.879316,1,0.261788
291,8,11.007323,4.879316,1,0.260730
292,6,11.181177,4.879316,1,0.259678
293,8,10.643634,4.879316,1,0.258631
294,6,10.995934,7.230093,1,0.257589
295,10,10.457708,7.230093,1,0.256553
296,5,11.111339,7.995227,1,0.255521
297,21,7.438081,6.107110,1,0.254495
298,5,11.111339,7.995227,1,0.253474
299,6,11.164835,4.879316,1,0.252457
300,12,9.150207,7.230093,1,0.251446
301,6,11.279358,4.879316,1,0.250440
302,8,10.662212,4.879316,1,0.249440
303,16,7.663424,4.879316,1,0.248444
304,18,7.749863,7.683461,1,0.247453
305,8,10.596600,7.230093,1,0.246467
306,8,10.934903,4.879316,1,0.245485
307,16,8.974242,7.230093,1,0.244509
308,11,10.327222,4.066264,1,0.243538
309,6,11.279358,4.879316,1,0.242571
310,8,10.706874,4.879316,1,0.241610
311,8,11.034629,4.879316,1,0.240653
312,10,10.064596,4.879316,1,0.239701
313,12,10.364067,4.879316,1,0.238754
314,10,9.721877,7.230093,1,0.237811
315,6,11.279358,4.879316,1,0.236873
316,6,11.053219,7.230093,1,0.235940
317,6,11.279358,4.879316,1,0.235011
318,8,10.514641,4.879316,1,0.234087
319,6,11.233477,4.879316,1,0.233168
320,10,10.494956,4.879316,1,0.232253
321,8,10.645739,4.879316,1,0.231343
322,16,8.306134,7.230093,1,0.230438
323,8,10.810965,4.879316,1,0.229537
324,6,11.279358,4.879316,1,0.228640
325,6,11.279358,4.879316,1,0.227748
326,6,11.279358,4.879316,1,0.226860
327,6,11.279358,4.879316,1,0.225977
328,8,10.972491,4.879316,1,0.225098
329,8,10.829314,4.879316,1,0.224224
330,6,11.279358,4.879316,1,0.223354
331,6,11.279358,4.879316,1,0.222488
332,10,10.441709,7.230093,1,0.221627
333,8,10.734178,4.879316,1,0.220770
334,14,9.700900,4.879316,1,0.219917
335,10,9.890099,4.879316,1,0.219069
336,9,10.512908,4.066264,1,0.218224
337,8,10.603314,4.879316,1,0.217384
338,6,11.279358,4.879316,1,0.216548
339,8,10.829314,4.879316,1,0.215717
340,12,10.257592,4.879316,1,0.214889
341,6,11.279358,4.879316,1,0.214066
342,6,11.279358,4.879316,1,0.213246
343,7,10.866610,7.995227,1,0.212431
344,6,11.279358,4.879316,1,0.211620
345,8,10.645739,4.879316,1,0.210813
346,10,9.969461,4.879316,1,0.210010
347,8,10.522344,4.879316,1,0.209211
348,6,11.279358,4.879316,1,0.208416
349,5,11.111339,7.995227,1,0.207625
350,6,11.279358,4.879316,1,0.206838
351,6,11.279358,4.879316,1,0.206054
352,6,11.279358,4.879316,1,0.205275
353,10,9.792517,4.879316,1,0.204500
354,22,6.947955,4.879316,1,0.203728
355,8,10.734178,4.879316,1,0.202960
356,8,10.297578,7.230093,1,0.202197
357,8,10.645739,4.879316,1,0.201437
358,10,10.100559,4.879316,1,0.200680
359,6,11.234696,4.879316,1,0.199928
360,6,11.279358,4.879316,1,0.199179
361,6,11.279358,4.879316,1,0.198434
362,5,11.111339,7.995227,1,0.197693
363,6,11.279358,4.879316,1,0.196955
364,8,10.644365,4.879316,1,0.196222
365,8,10.514641,4.879316,1,0.195491
366,8,10.872495,4.879316,1,0.194765
367,5,11.111339,7.995227,1,0.194042
368,10,9.749923,4.879316,1,0.193323
369,6,11.334502,4.879316,1,0.192607
370,6,11.279358,4.879316,1,0.191895
371,6,11.279358,4.879316,1,0.191186
372,8,10.829314,4.879316,1,0.190481
373,8,10.514641,4.879316,1,0.189780
374,6,11.279358,4.879316,1,0.189082
375,12,9.208221,4.879316,1,0.188387
376,6,11.234696,4.879316,1,0.187696
377,8,10.706874,4.879316,1,0.187008
378,6,11.279358,4.879316,1,0.186324
379,7,10.521496,7.995227,1,0.185643
380,5,11.111339,7.995227,1,0.184966
381,5,11.111339,7.995227,1,0.184292
382,5,11.111339,7.995227,1,0.183621
383,7,10.355698,7.995227,1,0.182954
384,5,11.111339,7.995227,1,0.182290
385,5,11.111339,7.995227,1,0.181630
386,5,11.111339,7.995227,1,0.180972
387,7,10.656963,7.995227,1,0.180318
388,7,10.766884,7.995227,1,0.179667
389,5,11.111339,7.995227,1,0.179020
390,5,11.111339,7.995227,1,0.178376
391,9,10.190565,7.995227,1,0.177735
392,7,10.502604,7.995227,1,0.177097
393,8,10.465282,7.230093,1,0.176462
394,7,10.476346,7.995227,1,0.175830
395,5,11.111339,7.995227,1,0.175202
396,5,11.111339,7.995227,1,0.174577
397,8,10.168242,7.230093,1,0.173955
398,7,10.521496,7.995227,1,0.173336
399,11,10.215287,7.995227,1,0.172720
400,5,11.111339,7.995227,1,0.172107
401,5,11.111339,7.995227,1,0.171497
402,7,10.543186,7.995227,1,0.170891
403,8,10.660993,4.879316,1,0.170287
404,5,11.066676,7.995227,1,0.169686
405,7,10.785232,7.995227,1,0.169088
406,5,11.111339,7.995227,1,0.168494
407,9,9.808591,7.995227,1,0.167902
408,5,11.111339,7.995227,1,0.167313
409,5,11.111339,7.995227,1,0.166727
410,5,11.111339,7.995227,1,0.166145
411,6,11.233477,4.879316,1,0.165565
412,7,10.477720,7.995227,1,0.164987
413,5,11.111339,7.995227,1,0.164413
414,5,11.111339,7.995227,1,0.163842
415,7,10.538855,7.995227,1,0.163273
416,11,9.586391,7.995227,1,0.162708
417,5,11.111339,7.995227,1,0.162145
418,5,11.111339,7.995227,1,0.161585
419,5,11.111339,7.995227,1,0.161028
420,9,10.166926,7.995227,1,0.160473
421,7,10.380138,7.995227,1,0.159922
422,5,11.111339,7.995227,1,0.159373
423,5,11.111339,7.995227,1,0.158826
424,5,11.111339,7.995227,1,0.158283
425,5,11.111339,7.995227,1,0.157742
426,5,11.111339,7.995227,1,0.157204
427,7,10.656963,7.995227,1,0.156669
428,8,10.650474,4.879316,1,0.156136
429,5,11.166483,7.995227,1,0.155606
430,5,11.111339,7.995227,1,0.155079
431,5,11.111339,7.995227,1,0.154554
432,7,10.804472,7.995227,1,0.154032
433,5,11.111339,7.995227,1,0.153512
434,5,11.111339,7.995227,1,0.152995
435,9,10.391837,7.995227,1,0.152481
436,5,11.111339,7.995227,1,0.151969
437,5,11.111339,7.995227,1,0.151460
438,5,11.111339,7.995227,1,0.150954
439,7,10.557748,7.995227,1,0.150449
440,7,10.521496,7.995227,1,0.149948
441,5,11.111339,7.995227,1,0.149449
442,6,11.053219,7.230093,1,0.148952
443,5,11.111339,7.995227,1,0.148458
444,11,9.914836,7.995227,1,0.147966
445,5,11.111339,7.995227,1,0.147477
446,5,11.111339,7.995227,1,0.146990
447,7,10.804472,7.995227,1,0.146506
448,5,11.111339,7.995227,1,0.146024
