episode,steps,reward,distance_mm,success,epsilon
659,7,10.656963,7.995227,1,0.083391
660,5,11.111339,7.995227,1,0.083224
661,5,11.166483,7.995227,1,0.083058
662,5,11.111339,7.995227,1,0.082893
663,5,11.111339,7.995227,1,0.082729
664,6,11.164835,4.879316,1,0.082565
665,5,11.111339,7.995227,1,0.082403
666,5,11.111339,7.995227,1,0.082241
667,7,10.532864,7.995227,1,0.082080
668,7,10.804472,7.995227,1,0.081920
669,5,11.111339,7.995227,1,0.081760
670,5,11.111339,7.995227,1,0.081602
671,5,11.111339,7.995227,1,0.081444
672,5,11.111339,7.995227,1,0.081287
673,5,11.111339,7.995227,1,0.081131
674,5,11.111339,7.995227,1,0.080975
675,5,11.111339,7.995227,1,0.080820
676,7,10.355698,7.995227,1,0.080666
677,7,10.532864,7.995227,1,0.080513
678,5,11.111339,7.995227,1,0.080361
679,5,11.111339,7.995227,1,0.080209
680,5,11.111339,7.995227,1,0.080059
681,5,11.111339,7.995227,1,0.079908
682,5,11.111339,7.995227,1,0.079759
683,6,11.233477,4.879316,1,0.079610
684,6,10.932960,7.230093,1,0.079463
685,5,11.111339,7.995227,1,0.079315
686,5,11.111339,7.995227,1,0.079169
687,7,10.346621,7.995227,1,0.079023
688,5,11.111339,7.995227,1,0.078878
689,5,11.111339,7.995227,1,0.078734
690,5,11.111339,7.995227,1,0.078591
691,5,11.111339,7.995227,1,0.078448
692,5,11.111339,7.995227,1,0.078306
693,5,11.111339,7.995227,1,0.078165
694,5,11.111339,7.995227,1,0.078024
695,5,11.111339,7.995227,1,0.077884
696,5,11.111339,7.995227,1,0.077745
697,7,10.380138,7.995227,1,0.077606
698,9,9.469763,7.995227,1,0.077468
699,6,11.279358,4.879316,1,0.077331
700,5,11.111339,7.995227,1,0.077195
701,9,10.022457,7.995227,1,0.077059
702,5,11.111339,7.995227,1,0.076924
703,5,11.111339,7.995227,1,0.076789
704,5,11.111339,7.995227,1,0.076656
705,5,11.111339,7.995227,1,0.076522
706,5,11.111339,7.995227,1,0.076390
707,5,11.111339,7.995227,1,0.076258
708,5,11.111339,7.995227,1,0.076127
709,5,11.111339,7.995227,1,0.075997
710,5,11.111339,7.995227,1,0.075867
711,5,11.111339,7.995227,1,0.075738
712,5,11.111339,7.995227,1,0.075609
713,5,11.111339,7.995227,1,0.075481
714,8,10.909142,4.879316,1,0.075354
715,5,11.111339,7.995227,1,0.075227
716,5,11.111339,7.995227,1,0.075101
717,5,11.111339,7.995227,1,0.074976
718,6,11.233477,4.879316,1,0.074851
719,7,10.346621,7.995227,1,0.074727
720,5,11.111339,7.995227,1,0.074604
721,5,11.111339,7.995227,1,0.074481
722,5,11.111339,7.995227,1,0.074359
723,5,11.111339,7.995227,1,0.074237
724,5,11.111339,7.995227,1,0.074116
725,5,11.111339,7.995227,1,0.073995
726,5,11.111339,7.995227,1,0.073876
727,5,11.111339,7.995227,1,0.073756
728,5,11.111339,7.995227,1,0.073638
729,7,10.521496,7.995227,1,0.073520
730,5,11.111339,7.995227,1,0.073402
731,5,11.111339,7.995227,1,0.073285
732,5,11.111339,7.995227,1,0.073169
733,6,11.233477,4.879316,1,0.073053
734,5,11.111339,7.995227,1,0.072938
735,5,11.111339,7.995227,1,0.072824
736,5,11.111339,7.995227,1,0.072710
737,5,11.111339,7.995227,1,0.072596
738,5,11.111339,7.995227,1,0.072484
739,5,11.111339,7.995227,1,0.072371
740,7,10.619140,7.995227,1,0.072260
741,5,11.111339,7.995227,1,0.072148
742,5,11.111339,7.995227,1,0.072038
743,5,11.111339,7.995227,1,0.071928
744,5,11.111339,7.995227,1,0.071818
745,7,10.380138,7.995227,1,0.071709
746,7,10.656963,7.995227,1,0.071601
747,5,11.111339,7.995227,1,0.071493
748,5,11.111339,7.995227,1,0.071386
749,5,11.111339,7.995227,1,0.071279
750,5,11.111339,7.995227,1,0.071173
751,7,10.557748,7.995227,1,0.071067
752,7,10.502604,7.995227,1,0.070962
753,5,11.111339,7.995227,1,0.070857
754,7,10.521496,7.995227,1,0.070753
755,5,11.111339,7.995227,1,0.070649
756,5,11.111339,7.995227,1,0.070546
757,7,10.661294,7.995227,1,0.070443
758,5,11.111339,7.995227,1,0.070341
759,7,10.766884,7.995227,1,0.070240
760,5,11.111339,7.995227,1,0.070139
761,5,11.111339,7.995227,1,0.070038
762,6,11.195654,4.879316,1,0.069938
763,7,10.661294,7.995227,1,0.069839
764,5,11.111339,7.995227,1,0.069739
765,6,11.279358,4.879316,1,0.069641
766,7,10.502604,7.995227,1,0.069543
767,5,11.111339,7.995227,1,0.069445
768,5,11.111339,7.995227,1,0.069348
769,5,11.111339,7.995227,1,0.069251
770,5,11.111339,7.995227,1,0.069155
771,5,11.111339,7.995227,1,0.069060
772,5,11.111339,7.995227,1,0.068965
773,5,11.111339,7.995227,1,0.068870
774,7,10.502604,7.995227,1,0.068776
775,5,11.111339,7.995227,1,0.068682
776,5,11.111339,7.995227,1,0.068589
777,5,11.111339,7.995227,1,0.068496
778,7,10.477720,7.995227,1,0.068403
779,5,11.111339,7.995227,1,0.068311
780,5,11.111339,7.995227,1,0.068220
781,5,11.111339,7.995227,1,0.068129
782,5,11.111339,7.995227,1,0.068038
783,5,11.111339,7.995227,1,0.067948
784,5,11.111339,7.995227,1,0.067859
785,5,11.111339,7.995227,1,0.067770
786,5,11.111339,7.995227,1,0.067681
787,5,11.111339,7.995227,1,0.067593
788,5,11.111339,7.995227,1,0.067505
789,9,10.316839,7.995227,1,0.067417
790,5,11.111339,7.995227,1,0.067330
791,5,11.111339,7.995227,1,0.067244
792,5,11.111339,7.995227,1,0.067158
793,5,11.111339,7.995227,1,0.067072
794,5,11.111339,7.995227,1,0.066987
795,7,10.476346,7.995227,1,0.066902
796,7,10.656963,7.995227,1,0.066817
797,5,11.111339,7.995227,1,0.066734
798,7,10.433057,7.995227,1,0.066650
799,5,11.111339,7.995227,1,0.066567
800,7,10.566158,7.995227,1,0.066484
