occurrence_name,full_path_name,component_name,mesh_file,status,origin_x_cm,origin_y_cm,origin_z_cm,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
DC11_B01_CASE_M_DUMMY:1,XC-430_idle:1+DC11_B01_CASE_M_DUMMY:1,DC11_B01_CASE_M_DUMMY,XC-430_idle_1_DC11_B01_CASE_M_DUMMY_1.stl,exported,1.817804833928038e-15,-8.215650382226158e-15,32.320000000000455,4.773040336690582e-16,4.0834968149949385e-16,1.0000000000000022,1.817804833928038e-15,1.0000000000000007,2.4702462297909733e-15,-5.586504819700876e-16,-8.215650382226158e-15,-2.4702462297909733e-15,1.0000000000000016,-4.084005986513297e-16,32.320000000000455,0.0,0.0,0.0,1.0
DC11_B01_CASE_F_DUMMY:1,XC-430_idle:1+DC11_B01_CASE_F_DUMMY:1,DC11_B01_CASE_F_DUMMY,XC-430_idle_1_DC11_B01_CASE_F_DUMMY_1.stl,exported,4.44089209850063e-16,-7.549516567451064e-15,32.32000000000046,4.772084968344716e-16,4.083675977494893e-16,1.0000000000000024,4.44089209850063e-16,1.000000000000001,2.4980018054066022e-15,-5.62020483207485e-16,-7.549516567451064e-15,-2.4980018054066022e-15,1.0000000000000016,-4.0857299685255893e-16,32.32000000000046,0.0,0.0,0.0,1.0
DC11_B01_CASE_B_DUMMY2:1,XC-430_idle:1+DC11_B01_CASE_B_DUMMY2:1,DC11_B01_CASE_B_DUMMY2,XC-430_idle_1_DC11_B01_CASE_B_DUMMY2_1.stl,exported,2.295012179895687e-15,-5.551115123125783e-15,32.32000000000046,4.772937824514086e-16,4.0835160393474016e-16,1.0000000000000024,2.295012179895687e-15,1.0000000000000004,2.4980018054066022e-15,-5.655762260640626e-16,-5.551115123125783e-15,-2.4702462297909733e-15,1.000000000000001,-4.08305339024027e-16,32.32000000000046,0.0,0.0,0.0,1.0
M_DC11_A01_IDLER:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER:1,M_DC11_A01_IDLER,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_1.stl,exported,-3.6615849397476383,-8.216504444926503,17.387196207361548,1.2073675392798577e-14,-1.0000000000000022,-8.171485002276726e-14,-3.6615849397476383,1.2246467991481667e-16,8.171485002276712e-14,-1.0000000000000013,-8.216504444926503,1.0000000000000007,1.2156942119645466e-14,1.2246467991580958e-16,17.387196207361548,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:1,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_1.stl,exported,-3.6615849397475726,-7.416504444926502,17.387196207361544,-1.2073675392798577e-14,1.0000000000000022,-8.171485002276726e-14,-3.6615849397475726,-1.2246467991481667e-16,-8.171485002276712e-14,-1.0000000000000013,-7.416504444926502,-1.0000000000000007,-1.2156942119645466e-14,1.2246467991580958e-16,17.387196207361544,0.0,0.0,0.0,1.0
M_DC11_A01_IDLER_CAP:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER_CAP:1,M_DC11_A01_IDLER_CAP,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_CAP_1.stl,exported,-3.641584939747638,-8.216504444926505,17.387196207361544,1.2073675392798577e-14,1.0000000000000022,8.171485002276726e-14,-3.641584939747638,1.2246467991481667e-16,-8.171485002276712e-14,1.0000000000000013,-8.216504444926505,1.0000000000000007,-1.2156942119645466e-14,-1.2246467991580958e-16,17.387196207361544,0.0,0.0,0.0,1.0
DC11_A01_IDLER_SCREW:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_IDLER_SCREW:1,DC11_A01_IDLER_SCREW,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_IDLER_SCREW_1.stl,exported,-3.2715849397476373,-8.216504444926535,17.38719620736154,1.2073675392798577e-14,-1.0000000000000022,-8.171485002276726e-14,-3.2715849397476373,1.2246467991481667e-16,8.171485002276712e-14,-1.0000000000000013,-8.216504444926535,1.0000000000000007,1.2156942119645466e-14,1.2246467991580958e-16,17.38719620736154,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:2,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:2,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_2.stl,exported,-3.6615849397476286,-8.216504444926503,18.187196207361545,-1.2073675392798577e-14,1.0000000000000022,-8.171485002276726e-14,-3.6615849397476286,-1.2246467991481667e-16,-8.171485002276712e-14,-1.0000000000000013,-8.216504444926503,-1.0000000000000007,-1.2156942119645466e-14,1.2246467991580958e-16,18.187196207361545,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:3,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:3,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_3.stl,exported,-3.661584939747703,-9.016504444926504,17.387196207361548,-1.2073675392798577e-14,1.0000000000000022,-8.171485002276726e-14,-3.661584939747703,-1.2246467991481667e-16,-8.171485002276712e-14,-1.0000000000000013,-9.016504444926504,-1.0000000000000007,-1.2156942119645466e-14,1.2246467991580958e-16,17.387196207361548,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:4,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:4,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_4.stl,exported,-3.661584939747648,-8.216504444926503,16.587196207361547,-1.2073675392798577e-14,1.0000000000000022,-8.171485002276726e-14,-3.661584939747648,-1.2246467991481667e-16,-8.171485002276712e-14,-1.0000000000000013,-8.216504444926503,-1.0000000000000007,-1.2156942119645466e-14,1.2246467991580958e-16,16.587196207361547,0.0,0.0,0.0,1.0
