#{"t_start": 1781192784.7854083, "env_id": "None"}
r,l,t,distance_mm,is_success
13.247488,9,1.783408,4.779008518431839,True
3.574106,41,1.789573,4.578295300111515,True
5.390553,36,1.794566,6.59054622639309,True
-23.782907,80,1.806043,31.7970381570868,False
9.501387,19,1.808803,4.059771494108158,True
13.294966,5,1.809574,6.779570765937987,True
14.245707,8,1.810747,1.586807913031699,True
7.904306,21,1.81365,6.746834816797871,True
11.620314,15,1.815757,6.375112458911381,True
-19.878754,80,1.826513,11.002413789983942,False
12.153398,10,1.892838,6.991798844936899,True
14.7869,7,1.893942,4.423189268085053,True
14.84409,6,1.894863,7.7004071886188425,True
13.019275,9,1.896185,7.602550103967465,True
10.777721,11,1.897794,2.993241771910907,True
12.912493,11,1.89939,7.413462404877882,True
12.622183,9,1.900708,4.766742441042464,True
-21.323376,80,1.911593,21.598006075651686,False
11.659268,9,1.91298,6.495616889663097,True
1.943044,51,1.91988,7.14307384410353,True
9.037092,22,1.922902,7.55576568617342,True
-8.125522,75,1.932976,6.769115216807913,True
3.326721,44,1.938967,7.868485930016398,True
9.359625,24,1.942279,5.13994502140243,True
-17.565849,80,1.953006,16.738079572913588,False
12.819967,9,1.954366,4.057326358898115,True
12.949238,6,1.955271,7.322209509224639,True
12.306608,9,1.956566,6.709282375231975,True
-2.430114,61,1.964705,4.915464072449721,True
6.094589,37,1.969695,7.34660349648558,True
5.876836,30,1.973758,7.308545787554512,True
-9.928713,80,1.984384,5.273995560845872,True
0.711443,50,1.991109,7.964955782916992,True
-0.870288,52,1.998092,5.930960559991537,True
-4.785535,76,2.00825,1.1472228723928517,True
12.790605,6,2.009161,4.507993832509842,True
10.915836,7,2.010191,6.049283843162609,True
12.65146,15,2.01229,7.85823595696475,True
7.569382,31,2.016508,6.226242127314927,True
12.96866,6,2.017411,7.653583152112031,True
6.862689,23,2.020557,5.450143891625842,True
11.198353,16,2.022793,5.228840430437455,True
3.026188,54,2.030039,3.267314256840037,True
-20.75007,80,2.105792,22.063538162585104,False
13.539981,9,2.107188,7.795216520907441,True
13.281305,4,2.107829,5.2176917383734684,True
12.384788,13,2.109679,7.2536811801303545,True
13.105399,6,2.11058,7.6872409321307,True
10.819925,18,2.113085,5.567683109863435,True
10.118193,19,2.115751,4.823051491766389,True
13.039817,4,2.116377,6.640478628197456,True
12.75615,9,2.117672,7.126219217693932,True
12.398397,6,2.118556,5.4895217954792646,True
9.727636,22,2.121582,6.306853501901094,True
13.665453,7,2.12263,4.1924598623900415,True
10.566281,15,2.124728,7.051369035194706,True
12.961632,10,2.126149,5.791868355080395,True
13.816362,18,2.128632,3.0846268275166007,True
11.953287,10,2.130063,5.6343555244818555,True
5.508798,44,2.136056,4.138422667525592,True
11.211751,15,2.138165,7.722330971937914,True
9.65192,20,2.140937,5.1392340443829925,True
12.31678,8,2.142094,7.893361705352976,True
3.590263,51,2.149011,7.245633493826122,True
12.172412,9,2.150315,3.4665606053264706,True
14.411892,8,2.151492,2.746262906464836,True
12.37405,12,2.153196,7.880561243076807,True
12.32765,8,2.154368,5.008761137759518,True
7.872349,27,2.158093,4.868613786008115,True
14.520183,4,2.158729,7.686041809479863,True
14.461256,8,2.159902,2.661667160198517,True
14.261277,4,2.16052,5.039694298081683,True
11.45571,10,2.161953,7.38717402038442,True
13.772788,7,2.162986,7.3461989169357,True
13.745552,6,2.163885,6.711828794732013,True
13.105097,14,2.165844,2.8818957131040137,True
14.002602,3,2.166332,6.692095326583892,True
12.028513,8,2.167487,5.674109953982698,True
14.138321,6,2.168386,5.555040590620471,True
13.147605,15,2.170484,4.359308462768046,True
11.261586,14,2.172451,5.6824911427151985,True
13.867125,11,2.174028,5.666633322313729,True
7.639482,33,2.178525,5.396546584016215,True
11.422566,18,2.181036,7.357692701829619,True
13.480413,7,2.182075,7.066246893107037,True
12.593525,3,2.182559,7.985161281877835,True
-0.463402,68,2.191713,4.021879775800744,True
12.607641,11,2.193288,6.351836647802294,True
12.368725,15,2.195394,7.613308294894731,True
2.291823,50,2.202141,7.071941349839088,True
12.849172,13,2.203971,7.404177692412179,True
7.30593,36,2.208914,6.440431026227879,True
10.915565,17,2.211272,6.768034979927828,True
9.416753,29,2.217555,4.157277745034437,True
15.022851,6,2.218479,4.332098017713568,True
13.496678,9,2.219787,6.543121551019979,True
13.516992,11,2.221366,7.730268365865134,True
11.955678,9,2.222676,6.759606928844495,True
11.712979,13,2.224509,7.0482850121039995,True
13.311311,6,2.225406,3.7945611632819354,True
7.418825,30,2.229463,7.340174933242459,True
10.363709,20,2.232207,7.7550033082144685,True
10.964146,16,2.234453,7.468328570927486,True
13.07922,9,2.235762,4.867085792708801,True
12.235912,6,2.23667,7.260031840509909,True
9.491857,19,2.239279,3.4740006434558097,True
12.224473,10,2.240708,6.5829819828720195,True
12.842933,11,2.307239,7.603434140373925,True
10.846402,20,2.310156,4.682769179712777,True
10.40324,19,2.312834,6.008315875298632,True
8.061321,27,2.316538,5.567936824147938,True
10.328421,20,2.319325,7.082562746925543,True
14.419469,7,2.320371,5.122528678920259,True
11.823737,15,2.322485,7.997681394276325,True
9.989108,27,2.326232,6.354518697027402,True
11.160072,16,2.32848,6.970480278236324,True
11.960758,6,2.329382,7.805877535995162,True
11.29861,14,2.331347,7.55002220102333,True
10.749421,17,2.33375,7.522121564334056,True
-2.996301,78,2.344965,6.900810352471528,True
12.482592,4,2.345607,6.021608786755594,True
14.25703,12,2.347331,3.700181895644582,True
12.937202,8,2.348509,6.458455731927761,True
6.690081,42,2.354225,5.861041214798108,True
13.480842,8,2.355402,6.671694895311879,True
12.060493,12,2.357124,6.448556429507667,True
11.65151,13,2.359068,5.841217006408882,True
11.761525,9,2.360363,7.123260811067393,True
9.933532,15,2.362443,7.030466770260777,True
11.926583,6,2.363335,4.624795303194967,True
12.915518,10,2.364764,5.871596023935517,True
7.226283,40,2.370162,5.409504993624123,True
13.048845,8,2.371315,5.783581807601736,True
12.794402,9,2.372597,7.616361601037452,True
7.496711,24,2.375871,3.1729521478930316,True
16.057642,7,2.376902,6.44297520875157,True
8.877056,29,2.380856,6.5310335479916946,True
13.080491,4,2.381477,7.387040647095683,True
12.218611,7,2.382493,7.428898250540323,True
14.585275,8,2.383667,4.610186553061247,True
11.885228,11,2.385244,5.961393581829359,True
12.205177,13,2.387075,7.27308266654986,True
10.358009,15,2.389158,5.757519254166504,True
13.379599,5,2.389924,7.295088498346004,True
11.527789,16,2.392145,7.010368977704627,True
13.267758,8,2.393305,5.215767366296592,True
11.191848,14,2.395251,7.453902421470312,True
12.101347,6,2.396139,7.811762058996593,True
12.543271,10,2.397555,5.42534096193288,True
-1.895621,70,2.40692,5.549005220068397,True
11.873304,12,2.408606,7.9524115202658985,True
13.026274,3,2.409097,5.126055214439498,True
13.636441,8,2.410259,7.735127520659592,True
11.687436,12,2.411941,7.918337926295067,True
12.545241,8,2.413086,5.648099375761814,True
15.917636,7,2.414108,2.8444995054319477,True
12.005331,13,2.41593,7.448010700430902,True
13.157918,7,2.416945,7.709842542760408,True
12.833499,2,2.41729,6.171780201466499,True
12.895119,9,2.418568,5.004302617370961,True
11.630467,15,2.420654,6.966966728119789,True
11.625788,9,2.421945,7.726583000495153,True
13.468679,6,2.422832,7.521184218018615,True
12.823776,5,2.423581,7.6717356296936785,True
9.618269,16,2.425796,2.343372439051264,True
14.358197,4,2.426414,3.4275208562370842,True
12.885522,9,2.427701,7.703749320457215,True
13.904425,7,2.428725,3.4016348571393764,True
13.333356,3,2.429204,7.678353046472036,True
11.465563,9,2.430483,6.194852132227137,True
13.530368,10,2.431905,6.845611983020852,True
12.394834,15,2.434026,6.078603689700359,True
12.472782,10,2.435455,6.867689555072281,True
13.352048,5,2.436234,5.7105004428067385,True
12.584523,15,2.438404,6.322151735023687,True
11.24099,19,2.441059,5.345775501365181,True
8.348009,24,2.444353,5.598528659204234,True
4.989287,49,2.450989,7.786044109473561,True
13.20258,14,2.518498,6.709806276413444,True
13.670598,8,2.519721,7.003249491892025,True
13.524779,5,2.520495,7.29527886663656,True
13.097394,8,2.521672,7.414532961212186,True
13.692751,5,2.522436,7.859553019715579,True
12.995339,7,2.523472,4.452258235261688,True
11.781913,14,2.525453,7.350813548839573,True
13.199543,7,2.526498,5.811758529760467,True
15.611262,4,2.52713,6.293709467293037,True
12.652067,13,2.528972,3.963133530512304,True
11.986367,16,2.531233,7.635307328014446,True
14.382531,13,2.533098,3.7749976167579686,True
12.671536,5,2.533895,6.545540126486033,True
12.049429,12,2.535618,3.3095408624480296,True
13.473681,11,2.537221,6.517664597956012,True
13.651171,7,2.538263,5.516037567580463,True
12.837684,11,2.539834,6.615228195404294,True
13.212575,4,2.540457,6.550462821694793,True
13.112813,5,2.541211,1.7391342465986683,True
12.700621,4,2.541842,6.502009125326964,True
14.747827,7,2.542868,6.0052591453477655,True
16.381951,4,2.543493,3.3872646505642536,True
12.759137,6,2.544386,5.599252055108462,True
12.811509,7,2.545419,7.046288452019686,True
12.544048,10,2.546862,4.5260267432431815,True
12.742573,11,2.548435,4.231763502455768,True
13.821335,2,2.548794,7.359896897487463,True
14.316773,7,2.549821,1.7051265556106703,True
12.848503,12,2.551515,4.173649136253385,True
11.953178,14,2.553492,6.369613081813256,True
12.737568,12,2.555205,4.599250058185732,True
12.646711,12,2.556915,5.540519545786609,True
13.509949,7,2.557956,6.131741589511524,True
12.625741,11,2.559559,7.831402204990143,True
12.864024,5,2.560357,5.93260755512651,True
14.272446,11,2.56196,6.082101705456165,True
7.282775,32,2.566345,5.8451732284031666,True
13.551178,6,2.567252,5.54480798805777,True
11.41928,12,2.568971,6.958000545064206,True
11.843332,6,2.569872,5.763812282702511,True
12.531136,2,2.570219,7.488707579339051,True
7.248216,32,2.574582,5.352107981550966,True
12.291666,7,2.575622,7.959776445922169,True
11.987853,13,2.577477,7.384712980547985,True
12.713748,9,2.578785,7.570462717062205,True
12.022818,18,2.581285,6.490117197878901,True
12.537342,11,2.582852,4.735546353857048,True
14.442981,4,2.583479,7.163086017008495,True
7.822089,30,2.587568,5.808002755895784,True
13.676517,11,2.589141,6.617195014571101,True
11.960601,10,2.590579,6.253677424779152,True
11.172452,10,2.592013,7.21323676876552,True
12.070289,19,2.594681,7.32491843753416,True
13.141419,5,2.595439,5.031883453849498,True
14.151552,3,2.595928,6.0335247260242495,True
13.562321,5,2.596694,2.337292057245866,True
13.690498,8,2.59786,7.601998354419704,True
13.515274,6,2.598755,5.023049692051965,True
14.13512,7,2.599784,7.11246171543443,True
